# x_m, y_m, w_tr_right_m, w_tr_left_m
1.9750379999999992,5.900676000000001,0.7,0.7
3.2263679999999995,5.3812560000000005,0.7,0.7
3.379832999999999,4.070900999999999,0.7,0.7
2.919437999999999,2.760546,0.7,0.7
2.400017999999999,1.4501909999999998,0.7,0.7
2.6951429999999994,0.13983599999999985,0.7,0.7
4.005497999999999,-0.3795839999999999,0.7,0.7
5.304047999999998,-1.0524689999999999,0.7,0.7
5.079752999999998,-2.268384,0.7,0.7
3.7693979999999994,-2.374629,0.7,0.7
2.459042999999999,-2.173944,0.7,0.7
1.1486879999999995,-1.902429,0.7,0.7
-0.11444700000000063,-1.170519,0.7,0.7
-0.42137700000000056,0.13983599999999985,0.6,0.6
-0.4331820000000004,1.4501909999999998,0.7,0.7
-0.2915220000000005,2.760546,0.7,0.7
-0.0908370000000005,4.070900999999999,0.7,0.7
0.5820479999999995,5.3812560000000005,0.7,0.7
1.8805979999999995,5.888871,0.7,0.7

